GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
mavendemo,com.glzhu.mavendemo,HelloWorld,4,17,1,3,1,5,1,3,0,2
mavendemo,com.glzhu.mavendemo,App,7,0,0,0,3,0,2,0,2,0
